id,name,group
1,"Bacillus anthracis","Bacteria"
2,"Burkholderia pseudomallei","Bacteria"
3,"Campylobacter jejuni","Bacteria"
4,"Coxiella burnetii","Bacteria"
5,"Escherichia coli enterohemorrhagic (EHEC)","Bacteria"
6,"Escherichia coli","Bacteria"
7,"Francisella tularensis","Bacteria"
8,"Legionella pneumophila","Bacteria"
9,"Listeria monocytogenes (Death as response)","Bacteria"
10,"Listeria monocytogenes (Infection)","Bacteria"
11,"Listeria monocytogenes (Stillbirths)","Bacteria"
12,"Mycobacterium avium","Bacteria"
13,"Pseudomonas aeruginosa (Contact lens)","Bacteria"
14,"Pseudomonas aeruginosa (bacterimia)","Bacteria"
15,"Rickettsia rickettsi","Bacteria"
16,"Salmonella Typhi","Bacteria"
17,"Salmonella anatum","Bacteria"
18,"Salmonella meleagridis","Bacteria"
19,"Salmonella nontyphoid","Bacteria"
20,"Salmonella serotype newport","Bacteria"
21,"Shigella","Bacteria"
22,"Staphylococcus aureus","Bacteria"
23,"Vibrio cholerae","Bacteria"
24,"Yersinia pestis","Bacteria"
25,"Adenovirus","Viruses"
26,Echovirus,"Viruses"
27,"Enteroviruses","Viruses"
28,"Influenza","Viruses"
29,"Lassa virus","Viruses"
30,"Poliovirus","Viruses"
31,"Rhinovirus","Viruses"
32,"Rotavirus","Viruses"
33,"SARS","Viruses"
34,"Cryptosporidium parvum","Protozoa"
35,"Endamoeba coli","Protozoa"
36,"Giardia duodenalis","Protozoa"
37,"Naegleria fowleri","Protozoa"
